name,slug,value,date_of_information,ranking,region
"Venezuela","venezuela","5.20","2019 est.","10","South America"
"Colombia","colombia","3.00","2021 est.","32","South America"
"Uruguay","uruguay","2.30","2021 est.","50","South America"
"Chile","chile","2.00","2021 est.","60","South America"
"Ecuador","ecuador","2.00","2021 est.","62","South America"
"Bolivia","bolivia","1.40","2021 est.","100","South America"
"Brazil","brazil","1.30","2021 est.","108","South America"
"Suriname","suriname","1.20","2019 est.","121","South America"
"Peru","peru","1.10","2021 est.","124","South America"
"Guyana","guyana","1.00","2021 est.","128","South America"
"Paraguay","paraguay","1.00","2021 est.","132","South America"
"Argentina","argentina","0.80","2021 est.","141","South America"
